DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
22.0024,57.382,1.4506,1.4614,0.033807633,11.4844,66.1596,0.7881,312783.4781,1609,311174.4781
22.1548,58.007,1.4506,1.4594,0.044766489,11.4844,66.1591,0.7751,314949.9782,1609,313340.9782
22.3072,59.1046,1.4506,1.4577,0.064011993,11.4844,66.1585,0.7798,317116.4783,1609,315507.4783
22.4596,59.2124,1.4506,1.4567,0.065902177,11.4844,66.1581,0.7711,319282.9784,1609,317673.9784
22.612,59.8294,1.4506,1.4564,0.07672076,11.4844,66.1575,0.7446,321449.4786,1609,319840.4786
22.7644,57.6985,1.4506,1.4569,0.039357197,11.4844,66.1571,0.7671,323615.9787,1609,322006.9787
22.9168,56.6422,1.4506,1.4581,0.020835854,11.4844,66.1566,0.7528,325782.4788,1609,324173.4788
23.0692,55.543,1.4506,1.4605,0.001562295,11.4844,66.1561,0.7672,327948.9789,1609,326339.9789
23.2216,56.4154,1.4506,1.4638,0.016859104,11.4844,66.1556,0.7749,330115.479,1609,328506.479
23.374,57.0375,1.4506,1.4681,0.027767111,11.4844,66.1551,0.7567,332281.9791,1609,330672.9791
23.5264,55.2908,1.4506,1.4739,0.008213005,11.4844,66.1546,0.757,334448.4792,1609,332839.4792
23.6788,54.4794,1.4506,1.4791,0.015063605,11.4844,66.1541,0.743,336614.9793,1609,335005.9793
23.8312,55.9223,1.4506,1.4809,0.017444745,11.4844,66.1536,0.7538,338781.4795,1609,337172.4795
23.9836,56.313,1.4506,1.4796,0.052991768,11.4844,66.1532,0.76,340947.9796,1609,339338.9796
24.136,54.7045,1.4506,1.4773,0.085172229,11.4844,66.1527,0.7422,343114.4797,1609,341505.4797
24.2884,53.2055,1.4506,1.4765,0.056872079,11.4844,66.1522,0.7465,345280.9798,1609,343671.9798
24.4408,53.3832,1.4506,1.4767,0.074467619,11.4844,66.1517,0.7342,347447.4799,1609,345838.4799
24.5932,53.6367,1.4506,1.4764,0.119342819,11.4844,66.1512,0.7621,349613.98,1609,348004.98
24.7456,53.0867,1.4506,1.4753,0.155706934,11.4844,66.1507,0.7513,351780.4801,1609,350171.4801
24.898,51.77,1.4506,1.473,0.150786846,11.4844,66.1502,0.7434,353946.9802,1609,352337.9802
25.0504,53.1847,1.4506,1.471,0.096332728,11.4844,69.2069,0.7423,356113.4804,1609,354504.4804
25.2028,51.357,1.4506,1.4702,0.087041372,11.4844,74.9124,0.7512,358279.9805,1609,356670.9805
25.3552,52.8536,1.4506,1.47,0.073256008,11.4844,72.7572,0.7462,360446.4806,1609,358837.4806
25.5076,52.4693,1.4506,1.4697,0.08923665,11.4844,69.0907,0.7594,362612.9807,1609,361003.9807
25.66,54.4851,1.4506,1.4694,0.112027564,11.4844,72.8837,0.7386,364779.4808,1609,363170.4808
25.8124,54.9032,1.4506,1.4697,0.085440502,11.4844,72.8831,0.7338,366945.9809,1609,365336.9809
25.9648,54.7564,1.4506,1.4706,0.06058231,11.4844,72.8824,0.7429,369112.481,1609,367503.481
26.1172,54.533,1.4506,1.4714,0.02578575,11.4844,72.6491,0.731,371278.9811,1609,369669.9811
26.2696,54.1122,1.4506,1.4739,0.073503239,11.4844,73.6616,0.7515,373445.4812,1609,371836.4812
26.422,54.3452,1.4506,1.4794,0.117352691,11.4844,74.2796,0.7332,375611.9814,1609,374002.9814
26.5744,56.4488,1.4438,1.484,0.168233345,11.4184,73.3925,0.7332,376007.5635,1609,374398.5635
26.7268,58.4761,1.444,1.4835,0.173725047,11.1143,75.843,0.7514,378216.2922,1609,376607.2922
26.8792,60.3114,1.4788,1.4789,0.197304998,10.8133,75.841,0.7703,389539.8174,1609,387930.8174
27.0316,58.6974,1.5537,1.4755,0.179853239,10.5886,64.9463,0.7614,411590.1698,1609,409981.1698
27.184,59.7009,1.6246,1.4789,0.192553238,10.5984,55.6708,0.7519,432798.6387,1609,431189.6387
27.3364,62.2602,1.6487,1.4843,0.155452688,10.3917,55.6574,0.7661,441681.3223,1609,440072.3223
27.4888,64.3341,1.6647,1.4822,0.116914337,10.1579,55.7283,0.7619,448453.9325,1609,446844.9325
27.6412,64.0535,1.6667,1.4793,0.053042617,9.9887,55.8457,0.7605,451481.9628,1609,449872.9628
27.7936,60.9479,1.6875,1.4825,0.040044537,9.9431,60.7183,0.7461,459636.66,1613,458023.66
27.946,60.418,1.6991,1.4841,0.065113139,10.0269,59.0361,0.744,465333.8763,1613,463720.8763
28.0984,59.6318,1.7125,1.4809,0.085263407,10.1512,57.4429,0.738,471561.398,1611,469950.398
