DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
30.5492,56.6608,1.5681,1.4698,0.021161989,9.9376,73.6352,0.8033,469461.1651,1651,467810.1651
30.7016,58.2829,1.5703,1.4741,0.049604166,9.9197,69.9936,0.8017,472465.0803,1649,470816.0803
30.854,57.4938,1.5619,1.4792,0.035767953,9.8656,70.829,0.8134,472270.4535,1651,470619.4535
31.0064,56.5625,1.561,1.4779,0.019438381,9.9128,68.751,0.8123,474329.7059,1652,472677.7059
31.1588,55.0704,1.5607,1.4696,-0.006724354,9.9652,70.2462,0.8044,476569.4838,1653,474916.4838
31.3112,56.0846,1.5619,1.464,0.011058801,9.9573,72.5472,0.8142,479268.6401,1652,477616.6401
31.4636,56.4362,1.5604,1.4628,0.017223815,9.8848,70.9508,0.8046,481138.8541,1650,479488.8541
31.616,57.761,1.5562,1.4632,0.040453083,9.8614,70.0277,0.7911,482168.0282,1652,480516.0282
31.7684,57.0206,1.558,1.4627,0.027470784,9.8521,70.454,0.7804,485052.6386,1652,483400.6386
31.9208,55.9548,1.559,1.4582,0.008782866,9.8666,73.0065,0.783,487692.3666,1651,486041.3666
34.8164,56.6148,1.5944,1.4737,0.020355418,10.564,66.2435,0.791,544010.428,1657,542353.428
34.9688,67.5407,1.6004,1.4735,0.211932002,10.5248,64.6717,0.7734,548447.8617,1656,546791.8617
35.1212,78.7934,1.606,1.473,0.409238754,10.4995,64.7392,0.7816,552765.5426,1656,551109.5426
35.2736,82.127,1.6063,1.4802,0.467690662,10.4953,62.5607,0.8022,555267.8401,1658,553609.8401
35.426,81.3423,1.6077,1.4939,0.453931599,10.5188,62.9553,0.8214,558152.926,1656,556496.926
35.5784,79.9282,1.6107,1.4954,0.42913653,10.5396,65.7574,0.8152,561600.063,1657,559943.063
35.7308,81.2794,1.6179,1.4872,0.4528287,10.5763,66.5548,0.8,566526.8409,1656,564870.8409
35.8832,86.1109,1.6199,1.4854,0.537545041,10.6291,62.3695,0.8145,569646.5177,1658,567988.5177
36.0356,88.062,1.626,1.4882,0.571755959,10.6928,65.6481,0.8358,574220.0789,1657,572563.0789
36.188,88.2645,1.6272,1.4922,0.575306629,10.7381,65.1977,0.8026,577074.1133,1658,575416.1133
36.3404,85.6648,1.6322,1.4932,0.529723048,10.7403,63.213,0.7959,581285.0486,1657,579628.0486
36.4928,86.1134,1.6337,1.487,0.537588876,10.7085,67.2969,0.8109,584259.2161,1657,582602.2161
36.6452,85.8888,1.6322,1.4844,0.533650702,10.6856,67.7243,0.7905,586160.4953,1659,584501.4953
36.7976,87.2743,1.6322,1.4884,0.557944294,10.6709,67.6482,0.7391,588598.2187,1659,586939.2187
36.95,86.7105,1.6269,1.4932,0.548058529,10.6774,67.1089,0.7204,589116.759,1658,587458.759
37.1024,85.653,1.6233,1.4971,0.529516145,10.656,63.1368,0.7319,590237.594,1662,588575.594
37.2548,86.9062,1.6248,1.4985,0.551489966,10.6086,67.2199,0.7599,593209.6706,1659,591550.6706
37.4072,89.4956,1.6293,1.4978,0.596892945,10.5915,66.0158,0.7336,597285.9994,1662,595623.9994
37.5596,91.4159,1.6345,1.4965,0.630563811,10.6513,69.0753,0.7492,601633.4288,1661,599972.4288
37.712,91.8456,1.6332,1.4957,0.638098244,10.7274,62.7168,0.7215,603594.1363,1660,601934.1363
37.8644,89.3703,1.6273,1.4956,0.594695914,10.7634,62.2673,0.7264,603844.0336,1661,602183.0336
38.0168,87.0818,1.6136,1.4951,0.554568966,10.8125,66.3703,0.7307,601170.3031,1661,599509.3031
38.1692,83.7365,1.6031,1.4932,0.495911908,10.8485,64.7847,0.7358,599652.6363,1663,597989.6363
38.3216,81.2154,1.5921,1.4908,0.451706513,10.8746,66.3052,0.749,597915.8297,1660,596255.8297
38.474,80.7195,1.5833,1.4896,0.443011318,10.9094,69.2658,0.7428,596975.6652,1664,595311.6652
38.6264,81.247,1.5834,1.4897,0.452260593,10.9219,66.3861,0.7617,599378.2092,1664,597714.2092
38.7788,82.4644,1.5933,1.4897,0.473606691,10.9378,65.4817,0.744,605505.368,1665,603840.368
38.9312,82.2701,1.6,1.4893,0.470199802,11.0189,64.8987,0.7411,610441.216,1665,608776.216
39.0836,82.6395,1.6029,1.4895,0.476676924,11.0673,59.4928,0.7437,613941.6039,1664,612277.6039
39.236,86.0261,1.6005,1.4912,0.536058143,11.1016,64.9801,0.7437,615412.7364,1664,613748.7364
39.3884,87.4884,1.6005,1.493,0.56169836,11.0048,65.0669,0.7554,617803.1152,1663,616140.1152
39.5408,87.8744,1.5977,1.4936,0.568466549,10.9089,65.7343,0.7464,619108.4944,1665,617443.4944
39.6932,85.7545,1.5996,1.4926,0.531295863,10.847,63.8302,0.7427,622233.7787,1664,620569.7787
39.8456,84.1635,1.6024,1.491,0.503398999,10.8518,67.4685,0.7637,625716.1765,1664,624052.1765
39.998,82.8277,1.6034,1.4896,0.479976855,10.8681,67.4599,0.7594,628501.3734,1664,626837.3734
