DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
30.2392,58.652,1.7375,1.4614,0.056076028,9.7032,65.5027,0.8668,514897.978,1532.234,513365.744
30.3916,58.195,1.7444,1.4597,0.048062913,9.7416,61.5543,0.8801,519548.049,1647,517901.049
30.544,56.745,1.7487,1.459,0.022638367,9.7719,61.8051,0.8841,523440.4694,1649,521791.4694
30.6964,57.2826,1.7486,1.46,0.032064736,9.7637,65.3052,0.8671,526022.1054,1650,524372.1054
30.8488,56.2394,1.7532,1.4609,0.01377309,9.7607,63.0263,0.8591,530024.3384,1649,528375.3384
31.0012,58.4903,1.7508,1.4603,0.053240753,9.8926,62.3809,0.8556,531913.6294,1648,530265.6294
31.1536,55.8755,1.745,1.4599,0.007392406,10.0828,66.4351,0.8422,532757.7136,1649,531108.7136
31.306,55.8024,1.7377,1.4638,0.006110658,10.2028,60.8528,0.8431,533124.2748,1649,531475.2748
31.4584,55.6491,1.726,1.4709,0.00342267,10.2154,65.0536,0.8529,532112.5443,1648,530464.5443
31.6108,56.5111,1.7191,1.4744,0.018537124,10.1269,61.3661,0.967,532552.8375,1648.002,530904.8355
31.7632,56.3575,1.7239,1.4732,0.015843876,10.167,60.7649,0.9519,536614.4887,1649,534965.4887
31.9156,55.8279,1.7463,1.4722,0.006557779,10.2631,62.9349,0.9434,546195.2803,1647,544548.2803
32.068,54.7897,1.7581,1.4727,-0.011646196,10.3138,60.886,0.9626,552511.7578,1647,550864.7578
32.2204,53.1995,1.7526,1.4748,-0.039529032,10.2777,62.6115,0.9563,553400.8358,1648,551752.8358
32.3728,53.9002,1.7345,1.4775,-0.027242839,10.153,64.3896,0.9596,550276.0917,1649,548627.0917
32.5252,53.8508,1.7313,1.4787,-0.028109027,10.0443,61.0228,0.9609,551846.6118,1647.004,550199.6078
32.6776,56.5504,1.7375,1.4778,0.019226217,9.9521,61.4956,0.9585,556417.834,1649,554768.834
32.83,54.5963,1.7484,1.4757,-0.015037304,9.8286,61.8044,0.966,562519.7256,1647,560872.7256
32.9824,54.7654,1.7536,1.4741,-0.012072276,9.7904,60.9499,0.9724,566811.7791,1647,565164.7791
33.1348,54.8413,1.7578,1.4728,-0.010741432,9.7373,64.3084,0.9592,570794.6441,1647.002,569147.6421
33.2872,57.4114,1.7687,1.4702,0.034323137,9.855,60.6782,0.9408,576975.6923,1651,575324.6923
33.4396,58.2087,1.7658,1.4682,0.048303131,9.8909,61.0911,0.9457,578666.9277,1651,577015.9277
33.592,58.3802,1.7566,1.4699,0.051310241,9.8342,62.23,0.9445,578275.5306,1651,576624.5306
33.7444,56.6556,1.7494,1.4733,0.021070812,9.7009,62.8322,0.928,578518.0429,1651.002,576867.0409
33.8968,55.8305,1.7573,1.4763,0.006603368,9.5971,63.5515,0.9497,583755.0971,1652,582103.0971
34.0492,53.9495,1.7659,1.4782,-0.026378405,9.6409,61.876,0.9627,589249.3263,1653,587596.3263
34.2016,54.0041,1.7681,1.4783,-0.025421039,9.6935,60.9392,0.9613,592624.1198,1654,590970.1198
34.354,55.9096,1.7678,1.4803,0.007990321,9.7544,63.7549,0.9487,595163.8118,1654.002,593509.8098
34.5064,58.6302,1.7736,1.4846,0.055693783,9.7786,59.2257,0.9578,599765.4002,1654,598111.4002
34.6588,64.8713,1.7715,1.4878,0.16512629,9.7397,61.5916,0.963,601701.0292,1655,600046.0292
34.8112,72.2616,1.7717,1.4881,0.294709064,9.6604,60.0069,0.9477,604415.0298,1656,602759.0298
34.9636,80.4706,1.7725,1.4877,0.438647063,9.6819,60.8391,0.943,607335.2138,1655,605680.2138
35.116,84.0621,1.7808,1.486,0.501621034,9.6722,60.584,0.9425,612838.8134,1653,611185.8134
35.2684,84.9086,1.783,1.4835,0.516463709,9.7184,60.3165,0.9347,616258.8606,1653,614605.8606
35.4208,85.3604,1.7803,1.4853,0.524385647,9.6632,61.3505,0.9486,617984.5724,1655,616329.5724
35.5732,83.6514,1.7833,1.4885,0.49441975,9.7188,62.9867,0.9778,621689.3381,1652,620037.3381
35.7256,84.1645,1.7832,1.4896,0.503416533,9.769,61.9035,0.9687,624317.7212,1655,622662.7212
35.878,82.6094,1.8048,1.4898,0.476149146,9.9303,62.2449,0.9707,634575.6211,1656,632919.6211
36.0304,84.2274,1.7578,1.4886,0.504519432,9.9624,62.1585,0.9568,620675.5238,1656,619019.5238
36.1828,83.1144,1.7246,1.4852,0.485003901,10.1861,66.4027,0.9552,611528.3974,1656,609872.3974
36.3352,83.3537,1.6431,1.4818,0.489199828,10.3512,70.6837,0.9652,585083.1978,1656,583427.1978
36.4876,82.465,1.6396,1.4821,0.473617212,10.5028,70.7299,0.9505,586285.6758,1656,584629.6758
36.64,81.6708,1.6077,1.4848,0.459691574,10.5575,68.076,0.939,577280.0544,1656.996,575623.0584
36.7924,82.8147,1.634,1.4859,0.479748911,10.6849,65.7934,0.9822,589164.0597,1658,587506.0597
36.9448,84.444,1.6224,1.4856,0.508317333,10.7456,68.9908,0.9869,587404.5865,1656.004,585748.5825
37.0972,86.887,1.6359,1.486,0.55115331,10.8017,63.4118,1.0032,594735.6329,1655,593080.6329
37.2496,87.7552,1.6278,1.4878,0.566376476,10.829,69.182,0.9858,594222.009,1658,592564.009
37.402,87.2348,1.6344,1.4898,0.557251694,10.839,68.3511,0.9526,599072.3222,1657,597415.3222
37.5544,85.1853,1.6365,1.4912,0.521315413,10.8338,67.3426,0.9665,602286.2009,1657,600629.2009
37.7068,85.3833,1.631,1.4921,0.524787179,10.8692,63.9884,0.9534,602697.9498,1660,601037.9498
37.8592,88.3167,1.6123,1.4918,0.576221912,10.8667,65.0891,0.824,598195.804,1657,596538.804
38.0116,90.4917,1.6029,1.4905,0.614358732,10.9306,65.7067,0.8134,597102.1777,1658,595444.1777
38.164,89.3161,1.6058,1.4886,0.593745562,10.942,66.1501,0.8316,600580.7618,1657,598923.7618
38.3164,86.7882,1.6083,1.4864,0.549420934,10.9143,69.2183,0.8026,603917.808,1660,602257.808
38.4688,85.8606,1.6189,1.4851,0.533156238,10.8626,66.3984,0.765,610315.9751,1656,608659.9751
38.6212,87.4416,1.6261,1.4859,0.560877761,10.8259,69.3005,0.744,615458.9465,1660,613798.9465
38.7736,89.5817,1.6321,1.4902,0.598402637,10.842,69.8337,0.7406,620167.4471,1660.9801,618506.467
38.926,89.7375,1.6326,1.4955,0.601134461,10.9218,62.2308,0.7359,622795.7585,1661,621134.7585
39.0784,89.1092,1.6282,1.4967,0.590117742,11.0269,64.3317,0.7846,623549.0186,1657,621892.0186
39.2308,86.6048,1.628,1.493,0.546205167,11.0957,65.1912,0.8773,625903.8755,1661,624242.8755
39.3832,87.0564,1.6247,1.4882,0.554123598,10.9864,63.08,0.9441,627061.6734,1661.996,625399.6774
39.5356,86.9307,1.6166,1.4861,0.551919553,10.9176,64.2446,0.9832,626349.8594,1660,624689.8594
39.688,86.8532,1.6146,1.4874,0.550560655,10.9466,67.4252,1.0203,627986.399,1659,626327.399
39.8404,86.7768,1.6049,1.4899,0.549221045,11.0671,66.5111,0.9858,626610.608,1660,624950.608
39.9928,87.4167,1.6026,1.4903,0.56044116,11.2175,60.2301,0.9623,628106.1205,1661,626445.1205
