DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
32.8856,89.9483,1.6456,1.5014,0.678953506,11.2235,59.7293,0.9838,530342.1249,1959.002,528383.1229
33.038,89.9214,1.6405,1.4992,0.678570462,11.2522,56.7632,0.9405,531148.6222,1961,529187.6222
33.1904,89.3858,1.6313,1.4976,0.670943755,11.2138,57.9612,0.9463,530606.2953,1960,528646.2953
33.3428,90.8433,1.6238,1.4961,0.691697911,11.1107,60.4866,0.9648,530591.9787,1961,528630.9787
33.4952,90.6279,1.6316,1.4949,0.68863071,10.9983,65.8546,0.9902,535577.5295,1961,533616.5295
33.6476,88.2817,1.6396,1.4947,0.655221859,10.8807,59.6595,0.9955,540652.3286,1960,538692.3286
33.8,87.0157,1.6521,1.4952,0.637194579,10.8434,60.0085,0.9515,547241.604,1960,545281.604
33.9524,86.2014,1.6598,1.4962,0.625599307,10.8423,64.9194,1.0114,552271.0965,1961,550310.0965
34.1048,86.6613,1.6651,1.4976,0.63214808,10.8429,60.5634,1.0329,556521.4443,1962.996,554558.4483
34.2572,86.7737,1.6618,1.4986,0.633748606,10.885,62.0446,1.0387,557900.4266,1961,555939.4266
34.4096,85.3488,1.6539,1.499,0.61345866,10.863,63.528,1.0579,557718.3669,1962,555756.3669
34.562,84.1743,1.6377,1.4996,0.5967343,10.8406,61.1917,1.0902,554701.4365,1961,552740.4365
34.7144,86.0292,1.6325,1.501,0.623147256,10.7778,63.1541,1.0885,555378.3284,1962,553416.3284
34.8668,86.6366,1.6343,1.5034,0.631796363,10.7413,67.0474,1.0739,558431.5502,1963,556468.5502
