DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
5.9488,57.2497,1.1403,1.4555,0.031487862,16.375,98.6901,0.3854,66477.48307,1416,65061.48307
6.1012,58.0232,1.1646,1.4641,0.045050542,16.375,98.4876,0.3868,69633.4837,1418,68215.4837
6.2536,58.4017,1.1722,1.4807,0.051687225,16.375,96.7109,0.3883,71838.60522,1416,70422.60522
6.406,57.8563,1.1669,1.4952,0.042124089,16.375,89.3888,0.394,73256.58172,1417.5,71839.08172
6.5584,59.6864,1.1744,1.4935,0.074213373,16.375,96.5532,0.4058,75481.41261,1418,74063.41261
6.7108,61.5306,1.1688,1.4792,0.106549889,16.375,96.2671,0.3974,76867.11379,1418,75449.11379
6.8632,63.4081,1.1777,1.4669,0.139470293,16.375,92.7018,0.3823,79211.34827,1418.506,77792.84227
7.0156,64.7896,1.1515,1.4635,0.163693748,16.375,89.3489,0.3818,79168.94132,1418,77750.94132
7.168,64.4834,1.1413,1.4638,0.158324785,16.375,88.4023,0.3934,80172.21632,1420.506,78751.71032
7.3204,61.8807,1.1268,1.4626,0.112688602,16.375,95.7097,0.3878,80836.54186,1420,79416.54186
7.4728,59.8362,1.1299,1.4606,0.076839992,16.375,95.7594,0.3637,82746.46386,1420,81326.46386
7.6252,60.6203,1.146,1.4613,0.090588534,16.375,98.8485,0.3726,85637.09616,1420,84217.09616
7.7776,64.2735,1.1671,1.4649,0.154644363,16.375,94.3733,0.3872,88956.92221,1419,87537.92221
7.93,66.6077,1.1839,1.4658,0.195572622,16.375,85.2816,0.3995,92005.6046,1422,90583.6046
8.0824,68.185,1.2028,1.4635,0.223229268,16.375,97.9606,0.396,95270.80506,1421,93849.80506
8.2348,66.9513,1.1967,1.4638,0.201597363,16.2975,94.8209,0.389,96574.93457,1422,95152.93457
8.3872,66.6788,1.1813,1.466,0.196819302,16.375,92.9782,0.3887,97096.43373,1422,95674.43373
8.5396,64.5707,1.1656,1.4677,0.159855518,16.375,93.7157,0.3865,97546.82605,1422,96124.82605
8.692,66.9366,1.1559,1.4692,0.201339611,16.375,96.7122,0.3725,98461.41144,1423,97038.41144
8.8444,67.1062,1.1381,1.4697,0.204313406,16.375,95.6508,0.3771,98644.95407,1423,97221.95407
