DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
23.1114,42.2675,1.5396,1.4538,0,10.3024,68.9967,0.7035,348706.6521,1538,347168.6521
23.2638,43.2788,1.5566,1.4538,0.014400465,10.243,70.2177,0.7124,354881.8246,1540,353341.8246
23.4162,45.4126,1.5587,1.4542,0.044784833,10.2102,68.3861,0.7326,357688.5432,1539,356149.5432
23.5686,47.888,1.5438,1.4546,0.080033434,10.3507,68.3226,0.7538,356575.0059,1540.5,355034.5059
23.721,48.2476,1.5214,1.4551,0.085153979,10.4663,63.1928,0.7751,353673.4681,1541,352132.4681
23.8734,47.7016,1.5097,1.4564,0.077379181,10.3132,65.5226,0.7902,353208.3854,1541,351667.3854
24.0258,48.8474,1.492,1.4586,0.093694866,10.1303,61.6762,0.7828,351295.6373,1540,349755.6373
24.1782,53.8641,1.4951,1.4604,0.165130456,10.008,71.9187,0.774,354258.5028,1541.9919,352716.5109
24.3306,58.7078,1.5118,1.461,0.234102602,9.9903,63.7571,0.7609,360473.4106,1542,358931.4106
24.483,59.8798,1.5544,1.4603,0.250791363,9.9158,68.1314,0.7506,372952.477,1540,371412.477
24.6354,58.4624,1.604,1.4586,0.230608214,9.8972,66.1701,0.7479,387248.7797,1542,385706.7797
24.7878,58.7053,1.6229,1.4582,0.234067003,10.0509,67.6515,0.7462,394235.5821,1543,392692.5821
24.9402,57.545,1.6258,1.4593,0.217544844,10.0265,64.2687,0.7474,397368.2162,1539,395829.2162
25.0926,55.9023,1.6198,1.4599,0.194153522,10.0861,63.6661,0.7481,398320.9361,1539.5179,396781.4182
25.245,54.3733,1.627,1.4594,0.172381239,10.0872,69.1362,0.7474,402521.427,1540.012,400981.415
25.3974,53.8759,1.6355,1.4582,0.165298482,10.1207,68.7671,0.7484,407066.9875,1541.504,405525.4835
25.5498,53.4071,1.6388,1.458,0.158622978,10.0766,66.4755,0.7547,410335.92,1543,408792.92
25.7022,52.8288,1.642,1.4591,0.150388242,9.929,62.3916,0.762,413589.5215,1541,412048.5215
25.8546,53.5327,1.6223,1.4602,0.160411466,9.7866,63.4587,0.7722,411050.3923,1541,409509.3923
26.007,54.3001,1.6213,1.4602,0.171338903,9.6194,62.0947,0.7805,413218.4612,1543,411675.4612
26.1594,53.9095,1.6158,1.4597,0.165776932,9.583,70.8911,0.7774,414229.9135,1544,412685.9135
26.3118,55.424,1.6276,1.4594,0.187342742,9.598,67.4387,0.7743,419685.8397,1542,418143.8397
26.4642,54.638,1.6277,1.4589,0.176150449,9.6733,69.8083,0.775,422142.6277,1541.504,420601.1237
