DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
19.136,49.8443,1.6593,1.4614,46.2082,10.4375,68.4933,0.7315,311173.175,1791,309382.175
19.2884,50.1278,1.5261,1.4632,-0.093388741,10.2972,73.471,0.737,288473.067,1791,286682.067
19.4408,49.5299,1.5448,1.464,-0.103872421,10.1939,69.8599,0.7436,294315.0488,1791,292524.0488
19.5932,49.0172,1.5651,1.4647,-0.11286219,10.2977,67.2301,0.7538,300520.1097,1791,298729.1097
19.7456,48.1839,1.578,1.4652,-0.127473414,10.4473,71.8453,0.7332,305353.8566,1791,303562.8566
19.898,48.5493,1.5749,1.4652,-0.121066428,10.5317,71.2836,0.7316,307106.13,1791,305315.13
20.0504,48.9866,1.5637,1.465,-0.113398736,10.4211,73.4603,0.74,307257.5427,1441,305816.5427
20.2028,49.492,1.5476,1.4648,-0.104536966,10.2465,73.2526,0.769,306405.3621,1442.504,304962.8581
20.3552,53.077,1.5541,1.4648,-0.041676968,9.9583,67.2695,0.7573,310013.3599,1441,308572.3599
20.5076,56.4808,1.5707,1.4657,0.018005839,9.9102,69.4063,0.7534,315670.6157,1442,314228.6157
20.66,59.1468,1.6174,1.4673,0.064751935,9.9293,64.3229,0.7564,327471.7432,1443,326028.7432
20.8124,58.9195,1.661,1.468,0.060766419,9.9432,63.6229,0.7705,338780.0847,1442,337338.0847
20.9648,55.8605,1.6864,1.4676,0.007129393,9.7944,68.5705,0.7724,346479.3795,1442.504,345036.8755
21.1172,55.4762,1.6877,1.4666,0.000391012,9.7381,68.2168,0.7717,349267.0847,1441.496,347825.5887
21.2696,52.7919,1.6873,1.4655,-0.04667596,9.7139,65.2809,0.77,351704.3216,1441.5,350262.8216
21.422,50.4979,1.6859,1.4651,-0.086899345,9.8531,67.5391,0.762,353930.428,1443,352487.428
21.5744,48.4127,1.6901,1.4654,-0.123461596,10.0504,69.7913,0.7403,357336.3557,1443,355893.3557
21.7268,48.463,1.6747,1.4659,-0.122579627,10.2062,65.0827,0.7296,356581.5452,1443,355138.5452
21.8792,50.5481,1.674,1.466,-0.08601913,10.1607,67.4164,0.7455,358932.6518,1443.0081,357489.6437
22.0316,49.8679,1.6597,1.4659,-0.097945872,9.9824,66.4976,0.7511,358345.2959,1441.496,356903.7999
22.184,48.9829,1.654,1.4664,-0.113463612,9.7877,64.796,0.742,359584.8928,1441,358143.8928
22.3364,49.3006,1.6367,1.468,-0.107893006,9.8888,67.8494,0.7362,358268.2616,1442,356826.2616
22.4888,51.8358,1.625,1.4697,-0.063440379,9.9507,64.3332,0.7328,358134.14,1441,356693.14
22.6412,55.0757,1.6242,1.4703,-0.006631423,10.0426,68.5638,0.7348,360383.603,1443.5,358940.103
22.7936,54.7769,1.6245,1.4701,-0.011870633,10.0308,67.5391,0.7351,362876.3914,1441.9919,361434.3995
22.946,54.7176,1.6469,1.4691,-0.012910409,10.193,64.7764,0.7381,370339.7205,1442,368897.7205
23.0984,54.5582,1.6233,1.4674,-0.015705356,10.1407,71.5416,0.7493,367457.2007,1442,366015.2007
23.2508,53.3663,1.6139,1.4667,-0.036604333,10.1756,66.9799,0.7716,367739.768,1440.496,366299.272
23.4032,49.8645,1.5857,1.4696,-0.098005488,9.9909,71.6709,0.7874,363682.4516,1441,362241.4516
23.5556,46.2082,1.5916,1.4719,-0.162115673,10.0565,70.9594,0.7937,367412.711,1441.9919,365970.7191
23.708,47.0757,1.5936,1.4682,-0.146904781,10.0828,67.6431,0.7959,370254.4742,1443,368811.4742
23.8604,49.0914,1.6042,1.4657,-0.111561155,10.0759,66.4376,0.7941,375113.1661,1443.504,373669.6621
24.0128,51.091,1.6128,1.4684,-0.076499829,10.0087,69.5651,0.7987,379532.8696,1443,378089.8696
24.1652,51.0333,1.6038,1.4677,-0.077511551,9.9242,68.2651,0.81,379810.248,1446.496,378363.752
24.3176,52.854,1.5853,1.463,-0.045587088,9.9851,70.6764,0.8079,377796.7745,1445.496,376351.2785
24.47,59.685,1.5836,1.4663,0.074188825,10.0271,71.5209,0.7842,379756.7816,1448,378308.7816
24.6224,69.5248,1.5936,1.4773,0.246721549,10.072,65.2005,0.7826,384534.9151,1445,383089.9151
24.7748,78.0952,1.612,1.4828,0.396996397,10.0584,69.6388,0.8055,391382.3805,1447,389935.3805
24.9272,79.2356,1.6101,1.4817,0.416992364,10.0558,69.4518,0.8167,393325.7903,1448,391877.7903
25.0796,78.3263,1.6004,1.4791,0.401048543,9.9394,68.6886,0.8162,393346.44,1447,391899.44
25.232,74.2611,1.5844,1.4774,0.329768637,9.8766,70.5114,0.8085,391780.2918,1448,390332.2918
25.3844,73.3667,1.5845,1.4741,0.314086075,9.9249,67.007,0.81,394171.5016,1449.9841,392721.5175
25.5368,74.0495,1.5884,1.4685,0.326058406,10.0302,69.7554,0.8073,397514.0006,1448,396066.0006
25.6892,77.2448,1.5907,1.4679,0.382085339,10.1787,66.6764,0.8189,400465.3423,1448,399017.3423
25.8416,79.5114,1.5827,1.4708,0.421828288,10.3737,68.4942,0.8463,400815.1031,1449,399366.1031
25.994,76.1935,1.5609,1.4724,0.363651666,10.4933,69.4206,0.8633,397625.5391,1448.504,396177.0351
26.1464,75.675,1.5408,1.4733,0.354560199,10.6565,73.1438,0.8593,394806.4566,1448.496,393357.9606
26.2988,76.2008,1.5195,1.4749,0.363779666,10.7773,70.7558,0.8504,391618.0607,1449.5,390168.5607
26.4512,79.2424,1.4908,1.4766,0.417111596,11.1101,68.4003,0.8439,386447.7998,1449,384998.7998
26.6036,79.0521,1.4697,1.477,0.413774844,11.3229,67.4059,0.8273,383173.247,1449.9919,381723.2551
26.756,76.746,1.4432,1.4765,0.373339295,11.3588,70.0688,0.8105,378419.7402,1450,376969.7402
26.9084,75.9522,1.4434,1.4781,0.359420671,11.3403,74.2537,0.7921,380627.9287,1452,379175.9287
27.0608,76.8162,1.4422,1.4781,0.374570194,11.1935,67.812,0.7725,382465.4404,1451.504,381013.9364
27.2132,78.7095,1.4529,1.4729,0.407767637,11.0957,68.781,0.7783,387472.9711,1450,386022.9711
27.3656,81.0187,1.4552,1.4694,0.448257542,11.0364,69.0013,0.7833,390259.727,1449.496,388810.231
27.518,83.7383,1.4552,1.4693,0.49594347,11.0482,78.1036,0.7787,392433.0973,1452,390981.0973
27.6704,86.0365,1.461,1.4699,0.536240499,11.0719,72.1475,0.7833,396179.2531,1452,394727.2531
27.8228,87.693,1.4762,1.4704,0.565285851,11.1073,70.796,0.7872,402505.7701,1452.9919,401052.7782
27.9752,89.8492,1.4864,1.4739,0.603093028,11.1836,70.5804,0.7925,407506.9053,1453,406053.9053
28.1276,89.9554,1.4759,1.4811,0.604955156,11.2016,68.4907,0.8005,406832.5434,1452.9919,405379.5515
28.28,82.93,1.4608,1.485,0.4817706,11.1254,68.8736,0.8132,404851.9552,1452,403399.9552
28.4324,79.148,1.4505,1.4816,0.415456371,11.029,63.7593,0.8211,404163.7228,1453.5,402710.2228
28.5848,76.7124,1.4586,1.4742,0.372750147,10.9869,69.3706,0.8058,408599.1349,1454,407145.1349
28.7372,83.625,1.4693,1.4709,0.493956848,10.9972,71.0927,0.8052,413790.966,1453,412337.966
28.8896,83.7507,1.4796,1.4721,0.496160894,11.0455,69.953,0.7995,418901.5112,1454.496,417447.0152
29.042,85.6485,1.4843,1.4737,0.529437241,11.0646,65.3764,0.7947,422448.9979,1455,420993.9979
29.1944,84.2767,1.4893,1.4751,0.505383867,11.0479,68.4794,0.7951,426096.3552,1454,424642.3552
29.3468,85.3255,1.5022,1.4772,0.523773704,11.0358,69.8662,0.7956,432030.677,1453.5079,430577.1691
29.4992,86.5928,1.5076,1.4803,0.545994757,11.0271,65.8934,0.7852,435835.3404,1454,434381.3404
29.6516,86.0189,1.5084,1.4817,0.535931897,11.0654,68.5929,0.7717,438319.4397,1456,436863.4397
29.804,85.9075,1.5113,1.4812,0.533978591,11.0848,64.4801,0.7793,441419.295,1455,439964.295
29.9564,84.1765,1.5159,1.4806,0.503626943,11.149,66.3528,0.7782,445026.8862,1456.0081,443570.8781
